target,model,feature,window_statistic,false_alarm_window_count,true_negative_window_count,false_alarm_median,true_negative_median,true_negative_iqr,robust_shift_iqr,absolute_robust_shift_iqr
ProtectiveStop,lstm,Temperature_J0,mean,50,2092,36.103125,33.787499999999994,5.614062500000003,0.4124686891177295,0.4124686891177295
ProtectiveStop,lstm,Temperature_J1,mean,50,2092,39.34375,36.30625,6.689062499999999,0.4540995094604068,0.4540995094604068
ProtectiveStop,lstm,Temperature_J2,mean,50,2092,39.959374999999994,36.7375,6.878124999999997,0.4684234438891411,0.4684234438891411
ProtectiveStop,lstm,Temperature_J3,mean,50,2092,42.94375,39.790625,6.59375,0.47819905213270186,0.47819905213270186
ProtectiveStop,lstm,Temperature_J4,mean,50,2092,45.05,41.321875000000006,7.662500000000001,0.4865415986949417,0.4865415986949417
ProtectiveStop,lstm,Temperature_J5,mean,50,2092,44.375,40.440625,7.9140625,0.4971372161895364,0.4971372161895364
ProtectiveStop,lstm,Speed_J0,mean,50,2092,0.008662273480240401,-0.0014240614549584682,0.06862983682976846,0.14696719970670077,0.14696719970670077
ProtectiveStop,lstm,Speed_J1,mean,50,2092,0.00240782139735522,0.0002678310373573578,0.016249721856001997,0.13169396860829563,0.13169396860829563
ProtectiveStop,lstm,Speed_J2,mean,50,2092,-0.021063644604146246,0.0025076712314330506,0.1437845794552743,-0.16393493603332757,0.16393493603332757
ProtectiveStop,lstm,Speed_J3,mean,50,2092,0.005223380360439478,-0.000359692591791827,0.1483777158817221,0.03762743562302711,0.03762743562302711
ProtectiveStop,lstm,Speed_J4,mean,50,2092,0.0003083285038883332,-0.0028244482580703336,0.01978547552926102,0.15833719828090856,0.15833719828090856
ProtectiveStop,lstm,Speed_J5,mean,50,2092,-0.034847412719972624,-0.001597400635273516,0.09702985133949535,-0.342678171981955,0.342678171981955
ProtectiveStop,lstm,Tool_current,mean,50,2092,0.10521191954612732,0.09764153063297272,0.03157763928174971,0.23973891289365348,0.23973891289365348
ProtectiveStop,lstm,Power_J0,mean,50,2092,0.009093830853650786,0.003855896718914666,0.01712425114665166,0.3058781426340097,0.3058781426340097
ProtectiveStop,lstm,Power_J1,mean,50,2092,-0.0012764402083224327,0.0015019401907920837,0.039711966414506604,-0.06996330451416745,0.06996330451416745
ProtectiveStop,lstm,Power_J2,mean,50,2092,0.1262740694670356,0.07986403194299782,0.26986217159137593,0.17197681783392613,0.17197681783392613
ProtectiveStop,lstm,Power_J3,mean,50,2092,0.08477531246389844,0.09337034964337362,0.14416491201591272,-0.059619480630116684,0.059619480630116684
ProtectiveStop,lstm,Power_J4,mean,50,2092,-0.0001317256227665098,-0.0011960145668124637,0.006022354120754214,0.17672307584474406,0.17672307584474406
ProtectiveStop,lstm,Power_J5,mean,50,2092,0.01964089505436277,0.01542885518490138,0.012899574170751292,0.32652549717585544,0.32652549717585544
ProtectiveStop,lstm,Abs_Current_Sum,mean,50,2092,5.273696231842041,4.844521832466126,0.8738565027713765,0.4911268589463118,0.4911268589463118
ProtectiveStop,lstm,Current_J0,range,50,2092,1.2279994189739227,2.107421875,2.797217071056366,-0.31439192371794167,0.31439192371794167
ProtectiveStop,lstm,Current_J1,range,50,2092,2.931742787361145,1.847282350063324,1.5934786526486278,0.6805616350713369,0.6805616350713369
ProtectiveStop,lstm,Current_J2,range,50,2092,1.294491171836853,1.4472829103469849,1.00992002338171,-0.15129092895743346,0.15129092895743346
ProtectiveStop,lstm,Current_J3,range,50,2092,1.7869554008357227,1.3487928211688995,1.131104708649218,0.3873757896296651,0.3873757896296651
ProtectiveStop,lstm,Current_J4,range,50,2092,1.3007609993219376,1.5068157315254211,1.7524601519107819,-0.11758026679169471,0.11758026679169471
ProtectiveStop,lstm,Current_J5,range,50,2092,0.40858959406614304,0.43254879117012024,0.08248037099838257,-0.29048362433344344,0.29048362433344344
