target,variant,feature_columns,feature_count,summary_feature_count,test_block,train_blocks,train_windows,test_windows,train_positive_count,decision_threshold,baseline_12_match,elapsed_seconds
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,10,8,3310,725,419,0.5,,2.106592300002376
ProtectiveStop,tool_current_only,Tool_current,1,7,1,8,3606,429,536,0.5,,1.374351899998146
ProtectiveStop,tool_current_only,Tool_current,1,7,2,8,3614,421,528,0.5,,1.4060408000004827
ProtectiveStop,tool_current_only,Tool_current,1,7,3,8,3609,426,526,0.5,,1.4769820000001346
ProtectiveStop,tool_current_only,Tool_current,1,7,4,8,3696,339,520,0.5,,2.1885175999996136
ProtectiveStop,tool_current_only,Tool_current,1,7,5,8,3565,470,494,0.5,,1.4249514000002819
ProtectiveStop,tool_current_only,Tool_current,1,7,7,8,3560,475,494,0.5,,1.2649431999998342
ProtectiveStop,tool_current_only,Tool_current,1,7,8,8,3846,189,546,0.5,,1.339111799999955
ProtectiveStop,tool_current_only,Tool_current,1,7,9,8,3474,561,441,0.5,,1.220892500001355
ProtectiveStop,tool_current_only,Tool_current,1,7,10,8,3310,725,419,0.5,,1.2805585000023711
