target,window_size,model,test_block,train_blocks,train_cycle_runs,test_cycle_runs,train_windows,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc,false_positive_rate,feature_set
ProtectiveStop,10,rf_smote,3,8,178,24,3609,426,37,0.08685446009389672,0.9366197183098591,0.8235754275634635,0.9402663083339364,0.6041666666666666,0.7837837837837838,0.6823529411764706,370,19,8,29,0.9628986312790939,0.5990107750552731,0.04884318766066838,all_sensors
ProtectiveStop,10,rf_smote,4,8,185,17,3696,339,43,0.12684365781710916,0.8997050147492626,0.8069217367997856,0.906811819017733,0.5737704918032787,0.813953488372093,0.6730769230769231,270,26,8,35,0.9262649277184162,0.6000112296195792,0.08783783783783784,all_sensors
ProtectiveStop,10,rf_smote,5,8,177,25,3565,470,69,0.14680851063829786,0.9361702127659575,0.8835134331317538,0.9388363788233856,0.7294117647058823,0.8985507246376812,0.8051948051948052,378,23,7,62,0.9774115436047561,0.8722366506653948,0.057356608478802994,all_sensors
ProtectiveStop,10,rf_smote,7,8,178,24,3560,475,69,0.14526315789473684,0.96,0.9136537155212828,0.9585350312377418,0.9310344827586207,0.782608695652174,0.8503937007874016,402,4,15,54,0.9766545298779182,0.9188982167855471,0.009852216748768473,all_sensors
ProtectiveStop,10,rf_smote,8,8,190,12,3846,189,17,0.08994708994708994,0.9947089947089947,0.9842565597667638,0.994776867663165,0.9444444444444444,1.0,0.9714285714285714,171,1,0,17,1.0,1.0,0.005813953488372093,all_sensors
ProtectiveStop,10,rf_smote,9,8,176,26,3474,561,122,0.21746880570409982,0.9126559714795008,0.8559405084452643,0.907016649870983,0.9195402298850575,0.6557377049180327,0.7655502392344498,432,7,42,80,0.9352290974270883,0.8841246837334897,0.015945330296127564,all_sensors
ProtectiveStop,10,rf_smote,10,8,175,27,3310,725,144,0.1986206896551724,0.9406896551724138,0.9040536007214062,0.9397901091925899,0.8796992481203008,0.8125,0.8447653429602888,565,16,27,117,0.9665268215720023,0.9157579180378893,0.027538726333907058,all_sensors
ProtectiveStop,10,rf_smote,1,8,178,24,3606,429,27,0.06293706293706294,0.9254079254079254,0.6324694795459413,0.9192891066954035,0.3684210526315789,0.25925925925925924,0.30434782608695654,390,12,20,7,0.9120140040538051,0.43460987242770976,0.029850746268656716,no_temperature
ProtectiveStop,10,rf_smote,2,8,179,23,3614,421,35,0.0831353919239905,0.995249406175772,0.984418948926721,0.995249406175772,0.9714285714285714,0.9714285714285714,0.9714285714285714,385,1,1,34,0.9994448556624723,0.9946843853820598,0.0025906735751295338,no_temperature
ProtectiveStop,10,rf_smote,3,8,178,24,3609,426,37,0.08685446009389672,0.92018779342723,0.7706050047513462,0.9236664629313205,0.5333333333333333,0.6486486486486487,0.5853658536585366,368,21,13,24,0.9580351559786007,0.5533394962293312,0.05398457583547558,no_temperature
