target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
GripLost,5,3,rf_smote,61,3768,67,0.01778131634819533,168,42,1174,15,0.012776831345826235,0.9914821124361158,0.7705776596576253,0.9899480537362654,0.8571428571428571,0.4,0.5454545454545454,1158,1,9,6,0.9459303997699166,0.5519309937335439
GripLost,5,3,rf_smote,62,3860,67,0.017357512953367876,168,42,1082,15,0.013863216266173753,0.9842883548983364,0.5912716929982446,0.9809545660603527,0.3333333333333333,0.13333333333333333,0.19047619047619047,1063,4,13,2,0.9323336457357077,0.25908401460614033
GripLost,5,3,rf_smote,63,3959,64,0.016165698408689064,168,42,983,18,0.018311291963377416,0.9766022380467956,0.5340752189592993,0.9715210301032022,0.14285714285714285,0.05555555555555555,0.08,959,6,17,1,0.7306275187104203,0.08592530840367514
GripLost,5,3,rf_smote,64,3934,64,0.01626842907981698,168,42,1008,18,0.017857142857142856,0.9831349206349206,0.6261698553633369,0.9784237065754986,0.6,0.16666666666666666,0.2608695652173913,988,2,15,3,0.8902356902356903,0.32931776674895386
GripLost,5,3,rf_smote,65,4048,69,0.017045454545454544,168,42,894,13,0.0145413870246085,0.9821029082774049,0.5510357815442561,0.9781662221885178,0.2,0.07692307692307693,0.1111111111111111,877,4,12,1,0.8711691259931895,0.2077352582128697
GripLost,5,3,rf_smote,66,3894,70,0.017976373908577297,168,42,1048,12,0.011450381679389313,0.9895038167938931,0.6306903732180041,0.9863776590086241,0.6666666666666666,0.16666666666666666,0.26666666666666666,1035,1,10,2,0.9741393178893178,0.4982730677442216
GripLost,5,3,rf_smote,67,4047,64,0.015814183345688165,168,42,895,18,0.02011173184357542,0.9731843575418995,0.5931818181818181,0.970548501777552,0.25,0.16666666666666666,0.2,868,9,15,3,0.8386861776257444,0.28570905922664547
GripLost,5,3,rf_smote,68,3946,70,0.017739483020780537,168,42,996,12,0.012048192771084338,0.9859437751004017,0.6464503042596349,0.9845524084166279,0.375,0.25,0.3,979,5,9,3,0.9539718834688347,0.37732795860268903
GripLost,5,3,rf_smote,69,3890,64,0.016452442159383032,168,42,1052,18,0.017110266159695818,0.9857414448669202,0.6392565667649681,0.9807004427606841,1.0,0.16666666666666666,0.2857142857142857,1034,0,15,3,0.8795938104448743,0.46414418806571456
GripLost,5,3,rf_smote,70,3919,66,0.016841030875223272,168,42,1023,16,0.015640273704789834,0.9843597262952102,0.5960513326752221,0.9797139628620698,0.5,0.125,0.2,1005,2,14,2,0.937375868917577,0.2831783005929993
GripLost,5,3,rf_smote,71,4053,49,0.012089810017271158,168,42,889,33,0.03712035995500562,0.968503937007874,0.6419447640966628,0.9585033027373304,0.8571428571428571,0.18181818181818182,0.3,855,1,27,6,0.7924100821297083,0.4411353364973242
