target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,lstm_autoencoder_19_raw_q90,44,1,7,0,0.0,17,3,0.17647058823529413,0.41553133514986373,0.0,0.0,0.0,0.19185380687407852
System_Failure,lstm_autoencoder_19_raw_q95,44,1,7,0,0.0,17,1,0.058823529411764705,0.4186991869918699,0.0,0.0,0.0,0.19185380687407852
System_Failure,lstm_autoencoder_19_raw_q97.5,44,1,7,0,0.0,17,1,0.058823529411764705,0.4186991869918699,0.0,0.0,0.0,0.19185380687407852
ProtectiveStop,lstm_autoencoder_19_raw_q90,44,1,2,0,0.0,22,3,0.13636363636363635,0.47936893203883496,0.0,0.0,0.0,0.053037908237083244
ProtectiveStop,lstm_autoencoder_19_raw_q95,44,1,2,0,0.0,22,1,0.045454545454545456,0.48188405797101447,0.0,0.0,0.0,0.053037908237083244
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,44,1,2,0,0.0,22,1,0.045454545454545456,0.48188405797101447,0.0,0.0,0.0,0.053037908237083244
GripLost,lstm_autoencoder_19_raw_q90,44,1,5,0,0.0,19,3,0.15789473684210525,0.43626806833114323,0.0,0.0,0.0,0.14547824021133493
GripLost,lstm_autoencoder_19_raw_q95,44,1,5,0,0.0,19,1,0.05263157894736842,0.4392156862745098,0.0,0.0,0.0,0.14547824021133493
GripLost,lstm_autoencoder_19_raw_q97.5,44,1,5,0,0.0,19,1,0.05263157894736842,0.4392156862745098,0.0,0.0,0.0,0.14547824021133493
System_Failure,lstm_autoencoder_19_raw_q90,42,2,5,1,0.2,18,2,0.1111111111111111,0.4586885089766179,0.16666666666666666,0.012987012987012988,0.024096385542168676,0.14474669048578143
System_Failure,lstm_autoencoder_19_raw_q95,42,2,5,0,0.0,18,0,0.0,0.4496732026143791,0.0,0.0,0.0,0.14474669048578143
System_Failure,lstm_autoencoder_19_raw_q97.5,42,2,5,0,0.0,18,0,0.0,0.4496732026143791,0.0,0.0,0.0,0.14474669048578143
ProtectiveStop,lstm_autoencoder_19_raw_q90,42,2,2,1,0.5,21,2,0.09523809523809523,0.5000456746140495,0.16666666666666666,0.02857142857142857,0.04878048780487805,0.11088615122652956
ProtectiveStop,lstm_autoencoder_19_raw_q95,42,2,2,0,0.0,21,0,0.0,0.47831474597273854,0.0,0.0,0.0,0.11088615122652956
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,42,2,2,0,0.0,21,0,0.0,0.47831474597273854,0.0,0.0,0.0,0.11088615122652956
GripLost,lstm_autoencoder_19_raw_q90,42,2,3,0,0.0,20,3,0.15,0.46977329974811083,0.0,0.0,0.0,0.06273606422913117
GripLost,lstm_autoencoder_19_raw_q95,42,2,3,0,0.0,20,0,0.0,0.47375,0.0,0.0,0.0,0.06273606422913117
GripLost,lstm_autoencoder_19_raw_q97.5,42,2,3,0,0.0,20,0,0.0,0.47375,0.0,0.0,0.0,0.06273606422913117
System_Failure,lstm_autoencoder_19_raw_q90,43,2,5,0,0.0,18,2,0.1111111111111111,0.4453227931488801,0.0,0.0,0.0,0.13816212853507948
System_Failure,lstm_autoencoder_19_raw_q95,43,2,5,0,0.0,18,0,0.0,0.4496732026143791,0.0,0.0,0.0,0.13816212853507948
System_Failure,lstm_autoencoder_19_raw_q97.5,43,2,5,0,0.0,18,0,0.0,0.4496732026143791,0.0,0.0,0.0,0.13816212853507948
ProtectiveStop,lstm_autoencoder_19_raw_q90,43,2,2,0,0.0,21,2,0.09523809523809523,0.47440699126092384,0.0,0.0,0.0,0.0959361391092561
ProtectiveStop,lstm_autoencoder_19_raw_q95,43,2,2,0,0.0,21,0,0.0,0.47831474597273854,0.0,0.0,0.0,0.0959361391092561
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,43,2,2,0,0.0,21,0,0.0,0.47831474597273854,0.0,0.0,0.0,0.0959361391092561
GripLost,lstm_autoencoder_19_raw_q90,43,2,3,0,0.0,20,2,0.1,0.46977329974811083,0.0,0.0,0.0,0.06295479913023982
GripLost,lstm_autoencoder_19_raw_q95,43,2,3,0,0.0,20,0,0.0,0.47375,0.0,0.0,0.0,0.06295479913023982
GripLost,lstm_autoencoder_19_raw_q97.5,43,2,3,0,0.0,20,0,0.0,0.47375,0.0,0.0,0.0,0.06295479913023982
System_Failure,lstm_autoencoder_19_raw_q90,44,2,5,0,0.0,18,2,0.1111111111111111,0.44605263157894737,0.0,0.0,0.0,0.141618796017283
